Date;N1;N2;N3;N4;N5;E1;E2;Winner;Gain
2016-12-30;8;10;22;29;47;1;3;0;17000000
2016-12-27;32;22;39;25;3;7;12;1;25000000
2016-12-23;46;39;16;20;4;2;5;0;17000000
2016-12-20;15;27;13;21;17;2;3;1;61653352
2016-12-16;45;10;6;30;41;4;11;0;51365465
2016-12-13;28;50;48;29;14;2;8;0;38164327
2016-09-12;6;40;37;28;12;1;5;0;29101354
2016-06-12;27;1;7;11;45;4;9;0;17000000
2016-02-12;6;11;23;31;32;2;12;1;28251970
2016-11-29;38;27;21;28;26;9;11;0;17000000
2016-11-25;28;23;5;11;17;10;11;2;57128890
2016-11-22;47;10;5;33;34;10;2;0;44606876
2016-11-18;3;12;27;32;47;6;8;0;36226400
2016-11-15;42;7;15;36;48;3;7;0;25643917
2016-11-11;38;49;3;22;23;2;9;0;17000000
2016-08-11;5;9;47;49;50;8;9;1;39336342
2016-04-11;7;11;12;48;44;3;7;0;30088611
2016-01-11;6;10;20;29;37;1;9;0;17000000
2016-10-28;23;43;10;19;16;2;8;1;17375733
2016-10-25;28;15;21;3;20;1;5;1;50108729
2016-10-21;48;9;23;20;44;8;10;0;39871819
2016-10-18;2;25;17;21;27;6;9;0;26452819
2016-10-14;31;34;19;7;13;1;11;0;17000000
2016-11-10;12;37;20;24;5;4;11;1;168085323
2016-07-10;12;30;27;20;2;11;9;0;160262012
2016-04-10;4;38;7;14;34;4;11;0;140796507
2016-09-30;35;44;17;37;43;2;10;0;130000000
2016-09-27;6;9;13;39;41;2;12;0;17000000
2016-09-23;14;39;42;49;16;3;9;1;23850387
2016-09-20;45;41;4;1;10;9;6;0;15000000
2016-09-16;32;5;22;8;14;2;11;1;39758892
2016-09-13;44;16;4;7;35;1;3;0;30386703
2016-09-09;28;4;11;17;15;1;3;0;23906431
2016-06-09;45;12;34;24;30;7;10;0;15000000
2016-02-09;50;40;16;32;8;2;11;5;39204300
2016-08-30;29;42;13;16;35;6;8;0;30018586
2016-08-26;48;9;30;28;1;7;8;0;23748325
2016-08-23;2;31;45;37;23;4;8;0;15000000
2016-08-19;22;6;5;25;34;5;7;1;54894441
2016-08-16;34;37;46;26;2;4;8;0;45434119
2016-12-08;15;50;36;2;28;2;11;0;39134895
2016-09-08;19;43;44;12;45;5;10;0;30094448
2016-05-08;19;16;24;37;35;2;7;0;23739151
2016-02-08;27;46;38;2;8;2;6;0;15000000
2016-07-29;40;26;50;1;21;2;4;1;72413419
2016-07-26;13;49;10;45;3;2;11;0;61762146
2016-07-22;26;45;24;7;37;5;9;0;54603405
2016-07-19;24;37;19;28;36;3;6;0;45336960
2016-07-15;2;11;14;13;21;1;8;0;38892370
2016-12-07;26;3;41;33;7;2;10;0;30023216
2016-08-07;12;18;8;44;33;8;4;0;23725445
2016-05-07;38;29;10;48;1;3;4;0;15000000
2016-01-07;11;50;13;40;2;1;10;1;23845060
2016-06-28;43;37;32;26;49;4;5;0;15000000
